center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree
IND722202AAA,1,2,3,4,5,9
IND723130AAA,4,2,6,24,21,45
IND723133AAA,2,1,3,11,13,24
IND713364AAB,1,1,2,6,12,18
IND721102AAA,1,1,2,5,13,18
IND721133AAA,1,1,2,2,2,4
IND721434AAB,1,1,2,2,2,4
IND721139AAC,2,2,4,20,3,23
IND721602AAB,2,1,3,5,4,9
IND721636AAB,1,1,2,1,3,4
IND721212AAA,0,1,1,0,10,10
IND721253AAC,2,2,4,7,12,19
IND721501AAC,1,2,3,1,7,8
IND721507AAA,1,0,1,13,0,13
IND721401AAA,1,1,2,2,2,4
IND722140AAA,1,2,3,12,10,22
IND722151AAA,1,1,2,9,8,17
IND723101AAA,1,1,2,15,14,29
IND723202AAA,1,1,2,14,14,28
IND723131AAA,1,1,2,6,12,18
IND731224AAA,1,1,2,15,11,26
IND742147AAA,1,1,2,11,3,14
IND731237AAB,2,1,3,18,15,33
IND732103AAA,2,1,3,2,2,4
IND732138AAA,1,3,4,2,7,9
IND732123AAC,3,1,4,4,1,5
IND732202AAA,1,1,2,8,11,19
IND733128AAA,1,2,3,6,7,13
IND732139AAA,2,2,4,7,2,9
IND733102AAA,2,1,3,11,1,12
IND733124AAA,1,0,1,3,0,3
IND733140AAA,1,2,3,2,10,12
IND732204AAB,1,2,3,11,8,19
IND733129AAB,2,1,3,5,5,10
IND733134AAA,1,1,2,5,3,8
IND733129AAA,1,1,2,5,4,9
IND733201AAA,0,1,1,0,1,1
IND733202AAB,1,1,2,1,1,2
IND733210AAA,2,0,2,2,0,2
IND733202AAC,0,1,1,0,1,1
IND734214AAB,0,1,1,0,3,3
IND735224AAA,0,1,1,0,8,8
IND736146AAA,1,1,2,8,8,16
IND736135AAA,1,2,3,8,11,19
IND736101AAA,1,0,1,6,0,6
IND736165AAA,1,0,1,5,0,5
IND741502AAB,1,0,1,1,0,1
IND741121AAA,0,1,1,0,1,1
IND741201AAC,1,1,2,1,4,5
IND741156AAA,1,2,3,20,21,41
IND741165AAB,1,1,2,18,15,33
IND742121AAB,2,2,4,16,17,33
IND742202AAA,1,2,3,1,3,4
IND742303AAB,2,1,3,19,18,37
IND742121AAA,1,2,3,16,18,34
IND742137AAA,1,1,2,3,6,9
IND742401AAA,1,2,3,6,17,23
IND742148AAA,1,1,2,14,16,30
IND742225AAA,2,1,3,17,16,33
IND742149AAA,0,2,2,0,15,15
IND742223AAA,1,1,2,16,17,33
IND742226AAA,1,2,3,17,19,36
IND743270AAA,1,1,2,6,5,11
IND743347AAA,1,1,2,12,6,18
IND754103AAA,1,1,2,7,1,8
IND756100AAC,3,4,7,25,19,44
IND760003AAB,1,2,3,12,2,14
IND751014AAA,0,1,1,0,5,5
IND751015AAA,0,4,4,0,13,13
IND752050AAA,2,2,4,2,3,5
IND752055AAA,1,2,3,2,2,4
IND752056AAA,2,1,3,7,1,8
IND751021AAA,0,1,1,0,1,1
IND752030AAA,0,1,1,0,1,1
IND754022AAA,2,1,3,2,2,4
IND754142AAA,2,1,3,2,2,4
IND754211AAA,1,1,2,2,1,3
IND754160AAA,0,1,1,0,1,1
IND754202AAA,1,1,2,1,1,2
IND756019AAA,3,5,8,6,12,18
IND756029AAA,1,1,2,1,1,2
IND756032AAA,1,1,2,1,9,10
IND757001AAA,3,1,4,8,2,10
IND757025AAA,1,1,2,8,6,14
IND757041AAA,2,2,4,3,5,8
IND756045AAB,1,1,2,1,1,2
IND757037AAA,3,2,5,6,13,19
IND758001AAA,4,2,6,7,6,13
IND758034AAA,1,3,4,13,4,17
IND757024AAA,0,1,1,0,1,1
IND758035AAA,1,1,2,3,1,4
IND759122AAC,1,1,2,1,1,2
IND767017AAA,2,2,4,4,3,7
IND761020AAA,1,0,1,1,0,1
IND762001AAA,1,1,2,1,1,2
IND764059AAA,1,1,2,7,3,10
IND764071AAB,1,2,3,3,4,7
IND764073AAA,1,0,1,2,0,2
IND767001AAA,3,2,5,3,4,7
IND768004AAD,1,2,3,2,3,5
IND768028AAA,1,1,2,2,1,3
IND768028AAB,1,1,2,1,1,2
IND768201AAA,0,1,1,0,1,1
IND770001AAA,2,1,3,6,6,12
IND768216AAA,0,1,1,0,5,5
IND770017AAB,1,0,1,6,0,6
IND781001AAA,0,1,1,0,10,10
IND781003AAA,1,1,2,7,3,10
IND781005AAA,1,1,2,6,10,16
IND781014AAA,0,2,2,0,12,12
IND781102AAA,2,1,3,5,2,7
IND781124AAA,1,1,2,8,6,14
IND781018AAA,0,1,1,0,2,2
IND781022AAA,1,1,2,9,12,21
IND781354AAA,1,1,2,8,2,10
IND784001AAA,3,4,7,7,6,13
IND784125AAA,1,1,2,4,3,7
IND784168AAB,3,2,5,3,8,11
IND785001AAA,5,3,8,15,15,30
IND785612AAB,2,2,4,3,2,5
IND785621AAA,2,1,3,2,3,5
IND788026AAC,4,4,8,23,34,57
IND793001AAA,1,2,3,10,3,13
IND781335AAA,1,1,2,2,4,6
IND783129AAA,1,1,2,10,1,11
IND794101AAA,1,1,2,1,9,10
IND783301AAA,2,1,3,10,11,21
IND783348AAA,1,1,2,11,10,21
IND783370AAB,0,1,1,0,2,2
IND784101AAA,1,1,2,1,1,2
IND790114AAA,2,0,2,2,0,2
IND791111AAC,2,0,2,5,0,5
IND784110AAA,1,2,3,3,3,6
IND784176AAA,1,1,2,6,4,10
IND785112AAC,1,2,3,3,4,7
IND785682AAA,2,2,4,27,12,39
IND798601AAA,1,1,2,1,5,6
IND785634AAA,1,1,2,2,3,5
IND785675AAA,1,1,2,3,1,4
IND785690AAB,1,1,2,2,16,18
IND786001AAB,6,7,13,38,42,80
IND786125AAA,2,1,3,6,7,13
IND786171AAA,1,1,2,13,11,24
IND786184AAA,1,2,3,10,7,17
IND786190AAA,3,2,5,10,10,20
IND786602AAA,1,0,1,13,0,13
IND792103AAB,2,1,3,10,11,21
IND786181AAC,3,3,6,25,34,59
IND792120AAB,1,1,2,9,3,12
IND792121AAB,1,1,2,11,11,22
IND787001AAA,2,1,3,2,8,10
IND787057AAA,1,1,2,8,10,18
IND787059AAB,1,1,2,10,1,11
IND791102AAA,2,1,3,5,1,6
IND788121AAA,1,1,2,2,3,5
IND788151AAA,1,2,3,13,13,26
IND799250AAA,1,1,2,1,1,2
IND796081AAA,1,1,2,3,1,4
IND788713AAA,2,2,4,13,11,24
IND788806AAA,2,2,4,11,10,21
IND790001AAB,0,1,1,0,1,1
IND791109AAA,0,1,1,0,1,1
IND791110AAA,0,1,1,0,1,1
IND791125AAB,0,1,1,0,4,4
IND792001AAA,1,2,3,11,3,14
IND792110AAA,1,1,2,2,2,4
IND792130AAB,0,1,1,0,10,10
IND793150AAA,1,1,2,2,1,3
IND796009AAA,1,1,2,3,4,7
IND796321AAB,1,1,2,4,3,7
IND799008AAA,1,0,1,1,0,1
IND801103AAA,0,1,1,0,11,11
IND802301AAA,1,1,2,11,10,21
IND802101AAA,1,2,3,6,15,21
IND802119AAA,1,1,2,14,16,30
IND802158AAB,2,1,3,17,11,28
IND802212AAA,1,1,2,5,7,12
IND802213AAB,1,1,2,11,5,16
IND804401AAA,1,0,1,10,0,10
IND803101AAA,1,1,2,11,9,20
IND805110AAD,1,1,2,9,9,18
IND803116AAA,1,1,2,9,13,22
IND803108AAB,1,0,1,13,0,13
IND803213AAA,0,2,2,0,5,5
IND803212AAB,2,0,2,4,0,4
IND811105AAA,1,1,2,3,2,5
IND804420AAA,1,1,2,6,11,17
IND804452AAA,0,1,1,0,6,6
IND811201AAB,2,2,4,2,4,6
IND811213AAA,2,2,4,3,3,6
IND813213AAA,2,0,2,4,0,4
IND811307AAA,0,2,2,0,2,2
IND812002AAA,1,1,2,17,18,35
IND813203AAA,2,0,2,19,0,19
IND813102AAA,0,2,2,0,18,18
IND814101AAB,1,1,2,12,11,23
IND816107AAA,1,1,2,11,8,19
IND814112AAA,3,2,5,7,9,16
IND814133AAA,1,1,2,2,1,3
IND814133AAB,3,1,4,19,13,32
IND816109AAA,2,1,3,14,10,24
IND815301AAA,1,3,4,5,8,13
IND815353AAA,2,3,5,7,11,18
IND815351AAA,1,1,2,11,12,23
IND821109AAA,1,1,2,6,11,17
IND824101AAA,2,2,4,9,11,20
IND821307AAA,1,1,2,4,8,12
IND825102AAA,1,1,2,3,3,6
IND827013AAA,2,1,3,20,5,25
IND825301AAA,1,1,2,14,14,28
IND825409AAA,1,1,2,14,14,28
IND826001AAC,0,1,1,0,2,2
IND828111AAA,2,1,3,4,9,13
IND828205AAA,1,0,1,1,0,1
IND828401AAB,1,1,2,3,7,10
IND829121AAA,1,1,2,5,11,16
IND829122AAA,1,1,2,14,14,28
IND832109AAB,1,1,2,14,22,36
IND841101AAA,0,1,1,0,3,3
IND841207AAB,2,0,2,4,0,4
IND841226AAB,2,1,3,4,2,6
IND841428AAA,2,0,2,8,0,8
IND841301AAC,1,1,2,1,1,2
IND841405AAA,0,1,1,0,1,1
IND841424AAA,0,2,2,0,9,9
IND843105AAB,1,1,2,20,20,40
IND843109AAB,2,2,4,17,12,29
IND843126AAA,2,2,4,13,13,26
IND843301AAA,2,1,3,19,20,39
IND843320AAA,2,1,3,21,8,29
IND843329AAB,1,1,2,13,13,26
IND845401AAA,2,1,3,19,22,41
IND845412AAB,1,1,2,15,15,30
IND845418AAB,2,2,4,15,14,29
IND845438AAA,2,1,3,17,15,32
IND846004AAA,1,2,3,22,22,44
IND847212AAA,1,1,2,22,21,43
IND848101AAA,2,1,3,21,16,37
IND848114AAA,1,1,2,20,21,41
IND854326AAB,8,8,16,62,70,132
IND847223AAA,1,1,2,8,15,23
IND844101AAB,0,1,1,0,1,1
IND844505AAB,1,1,2,16,14,30
IND845305AAA,1,1,2,22,20,42
IND845455AAB,1,2,3,15,20,35
IND847103AAA,1,1,2,21,19,40
IND847404AAB,2,1,3,20,18,38
IND847226AAA,1,1,2,21,21,42
IND848210AAA,1,2,3,21,20,41
IND851127AAA,1,2,3,17,20,37
IND851112AAB,1,0,1,4,0,4
IND852111AAA,2,4,6,18,20,38
IND852118AAA,2,2,4,8,2,10
IND854311AAA,2,3,5,22,12,34
IND854335AAA,2,3,5,3,19,22
IND852113AAA,2,2,4,18,20,38
IND852139AAB,2,1,3,20,21,41
IND852201AAA,3,3,6,15,19,34
IND852118A1B,3,1,4,11,1,12
IND852131AAA,2,2,4,11,9,20
IND853204AAA,2,1,3,7,11,18
IND851204AAA,2,0,2,15,0,15
IND854105AAA,1,1,2,2,2,4
IND854105AAB,1,2,3,11,9,20
IND854334AAA,2,3,5,9,16,25
